"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","16-Jun-2020","        508.15","        517.10","        519.00","        501.30","        506.00","        506.75","        511.35","    6712936","          3432674488.55","      99188","    2266547","         33.76"
"M&amp;M","EQ","17-Jun-2020","        506.75","        504.90","        504.90","        492.50","        497.00","        497.60","        497.59","    9274056","          4614632628.60","     109803","    3279267","         35.36"
"M&amp;M","EQ","18-Jun-2020","        497.60","        496.90","        508.90","        492.00","        506.00","        506.60","        502.92","    7114852","          3578202463.00","     108621","    2949105","         41.45"
"M&amp;M","EQ","19-Jun-2020","        506.60","        506.60","        506.60","        496.40","        499.95","        500.05","        501.48","    9811021","          4920013739.65","     104861","    4684484","         47.75"
"M&amp;M","EQ","22-Jun-2020","        500.05","        501.75","        502.25","        494.10","        498.50","        498.75","        498.00","    5149781","          2564612305.80","      96936","    2001147","         38.86"
"M&amp;M","EQ","23-Jun-2020","        498.75","        500.00","        519.90","        497.60","        515.05","        516.40","        509.44","    9132472","          4652413828.90","     132410","    2125881","         53.50"
"M&amp;M","EQ","24-Jun-2020","        516.40","        520.00","        527.65","        512.55","        515.00","        515.35","        519.85","    7569986","          3935281777.15","     147317","    3061414","         40.44"
"M&amp;M","EQ","25-Jun-2020","        515.35","        509.90","        516.35","        503.35","        506.70","        507.25","        508.87","    5249631","          2671360779.75","      74896","    2084349","         39.70"
"M&amp;M","EQ","26-Jun-2020","        507.25","        515.00","        515.25","        498.70","        500.00","        501.40","        506.47","    4079405","          2066097782.25","      83611","    1733586","         42.50"
"M&amp;M","EQ","29-Jun-2020","        501.40","        494.10","        510.95","        493.05","        505.10","        507.45","        503.55","    4459962","          2245820346.65","      77159","    1216342","         27.27"
"M&amp;M","EQ","30-Jun-2020","        507.45","        509.00","        515.50","        507.10","        510.65","        510.70","        510.71","    5487685","          2802601126.75","      83132","    2514735","         45.83"
"M&amp;M","EQ","01-Jul-2020","        510.70","        513.75","        521.40","        494.25","        502.30","        498.95","        508.38","    8990865","          4570799322.65","     111670","    3104479","         34.53"
"M&amp;M","EQ","02-Jul-2020","        498.95","        506.50","        532.00","        504.40","        531.00","        529.70","        521.24","   16513525","          8607514707.25","     187316","    4282980","         25.94"
"M&amp;M","EQ","03-Jul-2020","        529.70","        531.40","        535.50","        524.20","        532.30","        530.50","        529.59","    7982336","          4227326151.75","     116954","    2609627","         32.69"
"M&amp;M","EQ","06-Jul-2020","        530.50","        533.65","        573.55","        533.65","        569.70","        570.55","        558.33","   16728409","          9339889287.90","     192165","    2807917","         16.79"
"M&amp;M","EQ","07-Jul-2020","        570.55","        565.00","        568.00","        551.65","        560.30","        560.00","        559.00","    9208254","          5147381257.80","     161209","    1831050","         19.88"
"M&amp;M","EQ","08-Jul-2020","        560.00","        564.00","        568.25","        549.00","        551.20","        551.25","        560.47","    5173213","          2899421599.10","      77899","    1694957","         32.76"
"M&amp;M","EQ","09-Jul-2020","        551.25","        554.00","        564.30","        548.05","        563.00","        560.30","        555.68","    4123903","          2291575580.75","      97132","    1256869","         30.48"
"M&amp;M","EQ","10-Jul-2020","        560.30","        555.30","        568.95","        552.00","        554.80","        554.85","        559.12","    5752463","          3216316446.05","      87823","    1284257","         22.33"
"M&amp;M","EQ","13-Jul-2020","        554.85","        560.00","        560.50","        549.20","        553.50","        555.85","        555.15","    3167393","          1758364944.80","      74671","     810945","         25.60"
"M&amp;M","EQ","14-Jul-2020","        555.85","        553.00","        553.95","        538.00","        543.75","        545.20","        546.65","    3097320","          1693153051.85","      48728","     797335","         25.74"
"M&amp;M","EQ","15-Jul-2020","        545.20","        550.00","        559.70","        542.75","        552.80","        550.15","        550.15","    5671830","          3120363460.10","      86619","    1436751","         25.33"
"M&amp;M","EQ","16-Jul-2020","        550.15","        547.00","        574.50","        542.55","        568.95","        570.90","        565.80","   11752682","          6649679390.95","     144479","    2957274","         25.16"
"M&amp;M","EQ","17-Jul-2020","        570.90","        571.95","        591.25","        565.50","        587.55","        588.80","        580.02","    9124229","          5292250036.45","     149055","    2883606","         31.60"
"M&amp;M","EQ","20-Jul-2020","        588.80","        588.90","        597.60","        582.15","        588.55","        594.00","        589.74","    5771917","          3403951877.10","     100916","    1667335","         28.89"
"M&amp;M","EQ","21-Jul-2020","        594.00","        592.85","        597.50","        585.50","        588.00","        588.30","        591.97","    3850519","          2279399418.05","      87640","     964308","         25.04"
"M&amp;M","EQ","22-Jul-2020","        588.30","        588.60","        612.00","        582.00","        590.45","        592.00","        597.04","   11559026","          6901146155.15","     134171","    2386103","         20.64"
"M&amp;M","EQ","23-Jul-2020","        592.00","        590.95","        609.00","        584.50","        602.25","        603.35","        599.01","    7606029","          4556102740.45","     103358","    1431316","         18.82"
"M&amp;M","EQ","24-Jul-2020","        603.35","        594.10","        600.95","        590.10","        599.00","        598.70","        595.66","    3531712","          2103704932.75","      57125","     769020","         21.77"
"M&amp;M","EQ","27-Jul-2020","        598.70","        598.15","        600.00","        588.00","        588.55","        594.40","        593.76","    3345207","          1986258914.35","      39897","     726555","         21.72"
"M&amp;M","EQ","28-Jul-2020","        594.40","        591.60","        625.80","        588.75","        620.50","        620.35","        612.39","   10289451","          6301205785.85","     131791","    1597554","         15.53"
"M&amp;M","EQ","29-Jul-2020","        620.35","        620.00","        624.90","        601.00","        603.75","        604.85","        611.18","    5182955","          3167693103.20","      65494","    1318059","         25.43"
"M&amp;M","EQ","30-Jul-2020","        604.85","        606.00","        614.80","        596.25","        599.00","        598.35","        602.85","    4958327","          2989107246.25","      65486","     987398","         19.91"
"M&amp;M","EQ","31-Jul-2020","        598.35","        599.90","        610.85","        592.15","        610.00","        606.45","        602.28","    3962668","          2386641654.85","      55046","     599582","         15.13"
"M&amp;M","EQ","03-Aug-2020","        606.45","        610.00","        620.50","        594.20","        597.00","        597.15","        606.65","    5002825","          3034954513.15","      68054","     705416","         14.10"
"M&amp;M","EQ","04-Aug-2020","        597.15","        597.15","        609.60","        597.15","        602.00","        602.60","        603.63","    4889759","          2951615607.40","      71901","    1012382","         20.70"
"M&amp;M","EQ","05-Aug-2020","        602.60","        605.90","        620.00","        603.20","        619.00","        614.25","        612.18","    3834862","          2347622163.40","      62676","    1095044","         28.55"
"M&amp;M","EQ","06-Aug-2020","        614.25","        618.00","        618.00","        605.55","        610.75","        609.65","        609.79","    3857563","          2352298482.50","      67305","    1035288","         26.84"
"M&amp;M","EQ","07-Aug-2020","        609.65","        610.10","        616.50","        598.70","        602.60","        600.45","        606.44","    7679209","          4656960659.00","     101527","    1056342","         13.76"
"M&amp;M","EQ","10-Aug-2020","        600.45","        605.00","        640.80","        605.00","        629.90","        628.90","        630.50","   12341776","          7781474713.90","     158333","    1628437","         13.19"
"M&amp;M","EQ","11-Aug-2020","        628.90","        630.00","        640.60","        622.40","        630.20","        629.55","        629.30","    5128839","          3227558254.70","      70505","    1577974","         30.77"
"M&amp;M","EQ","12-Aug-2020","        629.55","        628.00","        648.60","        624.35","        634.30","        634.95","        639.82","    8891691","          5689090439.55","     143960","    1779453","         20.01"
"M&amp;M","EQ","13-Aug-2020","        634.95","        635.15","        645.30","        628.40","        634.00","        631.45","        638.11","    5773589","          3684203490.70","      81306","    1267647","         21.96"
"M&amp;M","EQ","14-Aug-2020","        631.45","        634.00","        637.85","        607.55","        610.80","        614.45","        624.74","    3623116","          2263492751.20","      56836","    1028244","         28.38"
